GODKJENT,GODKJENNINGSNUMMER,PRODUKSJONSFORMER,VIRKSOMHETSNAVN,BEDRIFTSNR,ADRESSE,POSTNR,POSTSTED,TELEFON,TELEFAX,KOMMUNENR,KOMMUNE,FYLKENR,FYLKE
,NO10050371,Q,BRØTO TRANSPORT AS,974848856,Elvevegen 18,3550,GOL,,,3324,Gol,33,Buskerud
,NO16051636,I,BUER AS,871599572,Trippestadveien 44,1814,ASKIM,,,3118,Indre Østfold,31,Østfold
,NO10050199,Q,BULK TANK TRANSPORT AS,979605153,"Svinevoll, Borgeveien 7",3178,VÅLE,,,3905,Tønsberg,39,Vestfold
,NO13051080,N,BUNNPRIS ANDENES AS,971968532,Myrvn 1,8480,ANDENES,76142581,,1871,Andøy,18,Nordland
,NO19052913,N,BUNNPRIS BÅSMOEN AS,971880600,Nordåsveien 1,8616,MO I RANA,75 15 01 20,75 15 01 22,1833,Rana,18,Nordland
,NO13051143,N,BUNNPRIS ROA,995719339,Hadelandsvegen 2128,2740,ROA,61 32 11 40,,3234,Lunner,32,Akershus
,NO21053311,N,BUNNPRIS SANDNESSJØEN,917306192,Torolv Kveldulvsons gate 24,8800,SANDNESSJØEN,,,1820,Alstahaug,18,Nordland
,NO15051519,R,BYBERG BENT OVE,973807447,Bybergvegen 43,4354,VOLL,,,1124,Sola,11,Rogaland
,NO17051942,Q,BYRKJELO MASKIN AS,971808217,Fjellvegen 3,6826,BYRKJELO,,,4650,Gloppen,46,Vestland
,NO24053668,Q,BYRKNES SERVICESENTER AS,993488704,Nesevågen 46,5970,BYRKNESØY,,,4635,Gulen,46,Vestland
,NO10050200,QR,BØHNSDALEN HARALD,874322202,Kjus Søndre,2015,LEIRSUND,,,3205,Lillestrøm,32,Akershus
,NO10050200,QR,BØHNSDALEN HARALD,874322202,,2015,Leirsund,,,3205,Lillestrøm,32,Akershus
,NO12050886,M,BØNDENES INNKJØPSLAG SA,972314463,Hoveveien 80,4306,SANDNES,,,1108,Sandnes,11,Rogaland
,NO18052434,N,BØRGE HELLAND,898967042,Gjedrem 50,4387,BJERKREIM,,b.helland@hotmail.com,1114,Bjerkreim,11,Rogaland
,NO14051157,Q,BØRSTAD AS,971964057,Sutterøygata 14,7502,STJØRDAL,,,5035,Stjørdal,50,Trøndelag
,NO11050678,Q,BØVIKS TRANSPORT AS,971890444,Svehaugstemmen 3,5535,HAUGESUND,,,1106,Haugesund,11,Rogaland
,NO19052978,I,BÅDIN BRYGGERI,899575822,Tolder Holmers vei 6,8003,BODØ,,,1804,Bodø,18,Nordland
,NO11050576,Q,BÅRD LANGKAAS TRANSPORT AS,987523468,Sætersbøvegen 8,3810,GVARV,,,4020,Midt-Telemark,40,Telemark
,NO21053245,I,CALANUS AS AVD PRODUKSJON,912404668,Lilandveien 20,8407,SORTLAND,,,1870,Sortland,18,Nordland
,NO23053636,K,CALDIC NORWAY AS,882395332,Lysaker torg 4,1366,LYSAKER,,,3201,Bærum,32,Akershus
,NO18052401,N,CAMILLA MOOD HAVIG,991720995,Tangenvegen 869,2337,TANGEN,,,3413,Stange,34,Innlandet
,NO16051609,KN,CANIDER AS,913894618,Aksel Bråtens vei 23,2072,DAL,,,3240,Eidsvoll,32,Akershus
,NO22053393,H,CAPTAIN SIGS BAITS AS,820314352,Storamyr 30,4280,SKUDENESHAVN,,,1149,Karmøy,11,Rogaland
,NO20053018,N,CARGILL AS,913113101,Thormøhlens gate 51,5006,BERGEN,,,4601,Bergen,46,Vestland
,NO18052416,N,CARL FREDRIK HELTZEN,980846997,Hasleveien 179,1459,NESODDEN,,,3212,Nesodden,32,Akershus
,NO18052485,M,CAROLINE ELISABETH LINDSETH,,Enebakkveien 22,1825,TOMTER,,,,,,
,NO18052201,N,CASPAR CHRISTOPH MARIERO-KLEES VARG,,Nordre Hogstadveg 98,4055,SOLA,,,,,,
,NO19052858,P,CCB AS FORSYNINGSBASE,974135140,Tranesvegen 22,5347,ÅGOTNES,,,4626,Øygarden,46,Vestland
,NO10050194,M,CENATURIO HUND OG KATT DA,991383719,Solumsmoen,7873,HARRAN,74 33 28 23,,5045,Grong,50,Trøndelag
,NO15051455,I,C-FEED AS AVD VANVIKAN,915941540,Verkstedveien 4,7125,VANVIKAN,,,5054,Indre Fosen,50,Trøndelag
,NO20053019,I,CHIPSFABRIKKEN AS,921056915,Mjåvannsvegen 202,4628,KRISTIANSAND S,,,4204,Kristiansand,42,Agder
,NO18051976,Q,CHRISTENSEN TRANSPORT VESTBYGD AS,988360856,Elgtråkket 8,9407,HARSTAD,,,5503,Harstad,55,Troms
,NO11050682,Q,CHRISTIAN MAGNUS STRØMNES,976858832,Musangen,1640,RÅDE,,,3112,Råde,31,Østfold
,NO21053246,,CIMO HOLAR,927121131,c/o Cicilie Holar,7805,NAMSOS,,,5007,Namsos,50,Trøndelag
,NO15051465,M,CLAS OHLSON AS AVD ADMINISTRASJON,995431599,Stenersgata 2A,0184,OSLO,,,0301,Oslo kommune,03,Oslo
,NO20053092,Q,COLLICARE DISTRIBUTION AS AVD KLØFTA,980992179,Dyrskuevegen 46,2040,KLØFTA,,,3209,Ullensaker,32,Akershus
,NO19052865,H,COMPACT FOOD SOLUTIONS AS,971732482,Smoget 29,5212,SØFTELAND,56 30 35 00,56 30 35 40,4624,Bjørnafjorden,46,Vestland
,NO11050578,Q,CONTAINERSERVICE HADELAND AS,972181579,Mohagasvingen 2,2770,JAREN,,,3446,Gran,34,Innlandet
,NO18052295,M,COOP EXTRA EIKSMARKA 1135,973079239,Vollsveien 180,1359,EIKSMARKA,67 15 88 16,,3201,Bærum,32,Akershus
,NO18052323,M,Coop Extra Kristiansand sentrum,973166220,Vestre Strandgate 36,4612,KRISTIANSAND S,38 02 20 50,38 02 31 99,4204,Kristiansand,42,Agder
,NO26054403,N,COOP EXTRA SISTRANDA,974329530,Nordfrøyveien 463,7260,SISTRANDA,72447050,72449790,5014,Frøya,50,Trøndelag
,NO18052289,M,Coop Extra Sætre,973137719,Fransåsveien 2,3475,Sætre,32 79 10 06,32 79 16 15,3203,Asker,32,Akershus
,NO18052294,M,Coop Extra Tofte,973137727,Østre Strandvei 48,3482,TOFTE,32 79 42 90,32794269,3203,Asker,32,Akershus
,NO15051474,MNO,COOP FINNØY SA COOP BYGG-MIX FINNØY,975390357,Judaberg,4160,FINNØY,,,1103,Stavanger,11,Rogaland
,NO11050595,MO,COOP GJESDAL SA COOP EXTRA BYGG,971795050,Ålgårdsheiå 2,4331,ÅLGÅRD,,,1122,Gjesdal,11,Rogaland
,NO26054445,N,COOP GJESDAL SA COOP EXTRA ÅLGÅRD,913390717,Ålgårdsheiå 2,4331,ÅLGÅRD,,,1122,Gjesdal,11,Rogaland
,NO13051102,MOP,COOP JØLSTER SA AVD 300 BYGG-MIX,981389255,,6843,SKEI I JØLSTER,,,4647,Sunnfjord,46,Vestland
,NO18052325,M,Coop Kvinesdal Prix avd.033,973166271,Elvevegen 2,4480,KVINESDAL,38 35 09 11,38 35 16 30,4227,Kvinesdal,42,Agder
,NO18052238,M,COOP LEKA SA,971727497,Leknesveien 86,7994,LEKA,74 39 96 40,74 39 96 43,5052,Leka,50,Trøndelag
,NO18052483,N,COOP MARKED FLÅM,974079968,A-feltvegen 18,5743,FLÅM,57632108,,4641,Aurland,46,Vestland
,NO26054431,N,Coop Marked Longva,971688394,Kvernhusvegen 2,6293,LONGVA,,,1580,Haram,15,Møre og Romsdal
,NO18052226,M,Coop marked Suldalsosen,973154389,,4237,SULDALSOSEN,52 79 93 12,,1134,Suldal,11,Rogaland
,NO18052282,M,COOP MARKED SUNNHOV 1153,971776455,Håkonsetgutu 1A,3577,HOVET,32 08 97 93,32 08 98 11,3330,Hol,33,Buskerud
,NO26054375,N,COOP MEGA KRISTIANSUND,990071594,Arnulf Øverlands gate 2-8,6509,KRISTIANSUND N,97 99 49 75,71 57 09 31,1505,Kristiansund,15,Møre og Romsdal
,NO26054330,N,COOP MEGA LUND,985521883,Stadionveien 1,4632,KRISTIANSAND S,,,4204,Kristiansand,42,Agder
,NO18052297,M,COOP MEGA SLEPENDEN 2831,990313555,Pustutveien 6,1396,BILLINGSTAD,,,3203,Asker,32,Akershus
,NO18052284,I,COOP MIDT NORGE SA AVD OBS CITY SYD VAREHUS,973176919,Østre Rosten 28,7075,TILLER,,,5001,Trondheim,50,Trøndelag
,NO19052924,I,COOP MIDT NORGE SA AVD OBS CITY SYD VAREHUS,973176919,Østre Rosten 28,7075,TILLER,,,5001,Trondheim,50,Trøndelag
,NO16051634,M,COOP MIDT NORGE SA AVD OBS LADE VAREHUS,973176544,Haakon VII's gate 9,7041,TRONDHEIM,73 84 30 70,73 84 31 20,5001,Trondheim,50,Trøndelag
,NO18052591,I,COOP MIDT NORGE SA AVD 0008 COOP MARKED BREKKEN,971670592,Mellomriksveien 2,7370,BREKKEBYGD,,,5025,Røros,50,Trøndelag
,NO25053792,N,COOP MIDT NORGE SA AVD 001 COOP MARKED YTTERØY,971707194,Øvresflata 17,7629,YTTERØY,,,5037,Levanger,50,Trøndelag
,NO17051828,N,COOP MIDT NORGE SA AVD 003 COOP MARKED BREDE,973084968,Breidesvegen 5,7760,SNÅSA,,,5041,Snåsa,50,Trøndelag
,NO19052918,I,COOP MIDT NORGE SA AVD 033 COOP PRIX LEVANGERNESSET,973182080,Staupslia 23,7603,LEVANGER,,,5037,Levanger,50,Trøndelag
,NO18052414,I,COOP MIDT NORGE SA AVD 033 COOP PRIX LEVANGERNESSET,973182080,Staupslia 23,7603,LEVANGER,,,5037,Levanger,50,Trøndelag
,NO18052439,I,COOP MIDT NORGE SA AVD 036 COOP PRIX SNÅSA,974290049,Øverbygdvegen 8,7760,SNÅSA,,,5041,Snåsa,50,Trøndelag
,NO19052950,I,COOP MIDT NORGE SA AVD 036 COOP PRIX SNÅSA,974290049,Øverbygdvegen 8,7760,SNÅSA,,,5041,Snåsa,50,Trøndelag
,NO17051830,N,COOP MIDT NORGE SA AVD 100 EXTRA MOHOLT,971775033,Vegamot 4,7049,TRONDHEIM,40001251,73 82 06 21,5001,Trondheim,50,Trøndelag
,NO17051821,I,COOP MIDT NORGE SA AVD 103 EXTRA MERÅKER,973181211,Sørsidveien 20,7530,MERÅKER,74 81 34 60,xxxx,5034,Meråker,50,Trøndelag
,NO21053232,IN,COOP MIDT NORGE SA AVD 105 EXTRA SKATVAL,974329832,Skatvalsvegen 137,7510,SKATVAL,74 80 32 54,xxxx,5035,Stjørdal,50,Trøndelag
,NO19052811,IN,COOP MIDT NORGE SA AVD 105 EXTRA SKATVAL,974329832,Skatvalsvegen 137,7510,SKATVAL,74 80 32 54,xxxx,5035,Stjørdal,50,Trøndelag
,NO17051824,N,COOP MIDT NORGE SA AVD 109 EXTRA VERDAL,814457222,Fløytarvegen 21,7650,VERDAL,,,5038,Verdal,50,Trøndelag
,NO17051827,N,COOP MIDT NORGE SA AVD 111 EXTRA ØRMELEN VERDAL,973181963,Gamlevegen 1,7653,VERDAL,,,5038,Verdal,50,Trøndelag
,NO17051826,IN,COOP MIDT NORGE SA AVD 112 EXTRA CHARLOTTENLUND,973176749,Jakobslivegen 53,7058,CHARLOTTENLUND,,,5001,Trondheim,50,Trøndelag
,NO17051840,N,COOP MIDT NORGE SA AVD 115 EXTRA MÆRE,973180681,Tuvbakken 2,7710,SPARBU,,,5006,Steinkjer,50,Trøndelag
,NO18052307,I,COOP MIDT NORGE SA AVD 116 EXTRA NORDSILEIRET,973180738,Sagbruksvegen 5,7725,STEINKJER,,,5006,Steinkjer,50,Trøndelag
,NO21053299,M,COOP MIDT NORGE SA AVD 117 EXTRA NAMSOS,993402117,Nøsthaugvegen 7,7820,SPILLUM,,,5007,Namsos,50,Trøndelag
,NO17051837,N,COOP MIDT NORGE SA AVD 118 EXTRA VERFTSGATA,973181033,Verftsgata 6,7800,NAMSOS,,,5007,Namsos,50,Trøndelag
,NO19052853,N,COOP MIDT NORGE SA AVD 123 EXTRA KOLVEREID,973182846,Sentrumsgata 2,7970,KOLVEREID,,,5060,Nærøysund,50,Trøndelag
,NO18052000,I,COOP MIDT NORGE SA AVD 125 EXTRA BYNESET,973176579,Hangerslettvegen 1410,7074,SPONGDAL,72 83 52 06,72843769,5001,Trondheim,50,Trøndelag
,NO20053069,I,COOP MIDT NORGE SA AVD 127 EXTRA LEKSVIK,973181467,Vinnasand 15,7120,LEKSVIK,,,5054,Indre Fosen,50,Trøndelag
,NO19052885,I,COOP MIDT NORGE SA AVD 127 EXTRA LEKSVIK,973181467,Vinnasand 15,7120,LEKSVIK,,,5054,Indre Fosen,50,Trøndelag
,NO19052716,I,COOP MIDT NORGE SA AVD 127 EXTRA LEKSVIK,973181467,Vinnasand 15,7120,LEKSVIK,,,5054,Indre Fosen,50,Trøndelag
,NO20053073,I,COOP MIDT NORGE SA AVD 127 EXTRA LEKSVIK,973181467,Vinnasand 15,7120,LEKSVIK,,,5054,Indre Fosen,50,Trøndelag
,NO17051838,N,COOP MIDT NORGE SA AVD 140 COOP MARKED FOLLAFOSS,971689048,Follafossvegen 1120,7796,FOLLAFOSS,,,5006,Steinkjer,50,Trøndelag
,NO17051842,N,COOP MIDT NORGE SA AVD 141 COOP MARKED STOD,971773707,Vassinghaugen 13,7717,STEINKJER,,,5006,Steinkjer,50,Trøndelag
,NO17051839,N,COOP MIDT NORGE SA AVD 146 COOD MARKED FLATANGER,971779128,Nordsjøveien 68,7770,FLATANGER,,,5049,Flatanger,50,Trøndelag
,NO17051841,N,COOP MIDT NORGE SA AVD 147 COOP MARKED OTTERØY,873181052,Skomsvollvegen 1290,7819,FOSSLANDSOSEN,,,5007,Namsos,50,Trøndelag
,NO22053330,N,COOP MIDT NORGE SA AVD 25 COOP PRIX OLDERDALEN,973176641,Sverre Svendsens veg 8,7056,RANHEIM,73 57 15 84,,5001,Trondheim,50,Trøndelag
,NO19052826,M,COOP MIDT NORGE SA AVD 261 OBS STEINKJER DAGLIGVARE,981147936,Sjøfartsgata 2,7714,STEINKJER,,,5006,Steinkjer,50,Trøndelag
,NO18052436,I,COOP MIDT NORGE SA AVD 27 COOP PRIX SANDVOLLAN,873180692,Nessetvegen 2,7670,INDERØY,,,5053,Inderøy,50,Trøndelag
,NO17051836,N,COOP MIDT NORGE SA AVD 30 COOP PRIX MALM,973182331,Malmvegen 14,7790,MALM,,,5006,Steinkjer,50,Trøndelag
,NO18052477,I,COOP MIDT NORGE SA AVD 37 COOP PRIX TYDAL,973245147,Tydalsvegen 82,7590,TYDAL,,,5033,Tydal,50,Trøndelag
,NO22053439,IN,COOP MIDT NORGE SA AVD 38 COOP PRIX OSEN,973179136,Steinsdalsveien 29,7740,STEINSDALEN,,,5020,Osen,50,Trøndelag
,NO20053080,N,COOP MIDT NORGE SA AVD 39 COOP PRIX NAMSSKOGAN,973182552,R.C. Hansens vei 1,7890,NAMSSKOGAN,,,5044,Namsskogan,50,Trøndelag
,NO17051825,N,COOP MIDT NORGE SA AVD 43 COOP PRIX KVÅL,973176811,Vassfjellvegen 6,7228,KVÅL,72 85 21 28,72 85 22 50,5028,Melhus,50,Trøndelag
,NO24053651,I,COOP MIDT NORGE SA AVD 46 COOP PRIX SKAUN,973180363,Skaunavegen 920,7357,SKAUN,,,5029,Skaun,50,Trøndelag
,NO19052844,IN,COOP MIDT NORGE SA AVD 6 COOP MARKED SJÅNES,974040964,Abelværvegen 8,7970,KOLVEREID,,,5060,Nærøysund,50,Trøndelag
,NO21053286,N,COOP MIDT NORGE SA AVD 64 COOP MEGA TORGKVARTALET,972263206,Stokmovegen 2,7500,STJØRDAL,,,5035,Stjørdal,50,Trøndelag
,NO19052843,N,COOP MIDT NORGE SA AVD 7 COOP MARKED NAUSTBUKTA,974897547,Gravvikvegen 1510,7990,NAUSTBUKTA,,,5060,Nærøysund,50,Trøndelag
,NO17051822,N,COOP MIDT NORGE SA AVD 90 COOP EXTRA MELHUS,973176560,Jernbanevegen 11,7224,MELHUS,72 87 97 00,72 87 28 60,5028,Melhus,50,Trøndelag
,NO17051823,IN,COOP MIDT-NORGE SA AVD 128 EXTRA SELBU,927848066,Selbuvegen 1685,7580,SELBU,,,5032,Selbu,50,Trøndelag
,NO26054346,N,COOP MODALEN SA AVD COOP ØVRE HELLAND,973167375,Balane 2,5729,MODALEN,,,4629,Modalen,46,Vestland
,NO26054430,N,COOP NORDVEST AS (1433) COOP PRIX BALESTRAND,973168037,Holmen 1,6899,BALESTRAND,,,4640,Sogndal,46,Vestland
,NO26054412,N,COOP NORDVEST AS (1482) COOP PRIX HARØY,971701781,Austrevegen 2,6296,HARØY,71 27 65 36,,1508,Ålesund,15,Møre og Romsdal
,NO26054371,N,COOP NORDVEST AS (1501) COOP PRIX MÅNDALEN,971790466,Sørsidevegen 1729,6386,MÅNDALEN,,,1539,Rauma,15,Møre og Romsdal
,NO26054417,N,COOP NORDVEST AS (1508) COOP PRIX STORDAL,971774053,Sandvikgata 3,6250,STORDAL,,,1578,Fjord,15,Møre og Romsdal
,NO26054413,N,COOP NORDVEST AS (1518) COOP PRIX SØVIK,971779470,Hamnsundvegen 226,6280,SØVIK,,,1580,Haram,15,Møre og Romsdal
,NO18051957,N,COOP NORDVEST AS (1570) COOP PRIX HORNINDAL,971708794,Grøddesvegen 2,6763,HORNINDAL,,,1577,Volda,15,Møre og Romsdal
,NO26054376,N,COOP NORDVEST SA AVD 2754 COOP PRIX HARAMSØY,973171402,Ullavegen 114,6290,HARAMSØY,70 21 00 05,,1580,Haram,15,Møre og Romsdal
,NO26054381,N,COOP NORDVEST SA COOP PRIX INNVIK,971712341,Fv60,6793,INNVIK,,,4651,Stryn,46,Vestland
,NO26054398,N,COOP NORDVEST SA EXTRA FØRDEGÅRDEN,982926483,Naustdalsvegen 5,6800,FØRDE,,,4647,Sunnfjord,46,Vestland
,NO26054394,N,COOP NORDVEST SA EXTRA HITRA,985384746,Sentrumsgata,7240,HITRA,,,5056,Hitra,50,Trøndelag
,NO26054364,N,COOP NORDVEST SA EXTRA ROTSET VOLDA,974178745,Prestegata 29,6100,VOLDA,,,1577,Volda,15,Møre og Romsdal
,NO26054410,N,COOP NORDVEST SA EXTRA SOGNDALSFJØRA,982496764,Fjørevegen 20,6856,SOGNDAL,,,4640,Sogndal,46,Vestland
,NO26054432,N,COOP NORDVEST SA (1378) COOP MARKED VASSENDEN,973168738,Jølstravegen 885,6847,VASSENDEN,,,4647,Sunnfjord,46,Vestland
,NO19052864,N,COOP NORDVEST SA (1384) COOP PRIX SVELGEN,971777044,Gunnar Schjelderups veg 14A,6723,SVELGEN,,,4648,Bremanger,46,Vestland
,NO19052705,N,COOP NORDVEST SA (1386) EXTRA SANDANE,973168762,Grandavegen 14,6823,SANDANE,,,4650,Gloppen,46,Vestland
,NO18052518,N,COOP NORDVEST SA (1388) EXTRA HØYANGER,974321025,Storgata 19,6993,HØYANGER,,,4638,Høyanger,46,Vestland
,NO26054437,N,COOP NORDVEST SA (1425) COOP PRIX GAUPNE,873168072,Rådhusvegen 3,6868,GAUPNE,,,4644,Luster,46,Vestland
,NO26054361,N,COOP NORDVEST SA (1428) COOP MARKED SKJOLDEN,973168150,Skjolden 2,6876,SKJOLDEN,,,4644,Luster,46,Vestland
,NO26054391,N,COOP NORDVEST SA (1430) EXTRA LÆRDAL,973168134,Øyraplassen 2,6887,LÆRDAL,,,4642,Lærdal,46,Vestland
,NO26054414,N,COOP NORDVEST SA (1431) COOP PRIX HERMANSVERK,973168185,Sognefjordvegen 42,6863,LEIKANGER,,,4640,Sogndal,46,Vestland
,NO26054436,N,COOP NORDVEST SA (1434) COOP MARKED FRESVIK,973168061,Fresvikvegen 1072,6896,FRESVIK,57697400,,4639,Vik,46,Vestland
,NO26054426,N,COOP NORDVEST SA (1467) COOP PRIX BYRKJELO,974322080,Gamlevegen 2,6826,BYRKJELO,57868890,,4650,Gloppen,46,Vestland
,NO26054397,N,COOP NORDVEST SA (1472) COOP MARKED EIDSDAL,971680377,Ytterdalsgata 30,6215,EIDSDAL,,,1578,Fjord,15,Møre og Romsdal
,NO26054352,N,COOP NORDVEST SA (1473) COOP MARKED ERESFJORD,971681187,Siramoen 29,6470,ERESFJORD,,,1506,Molde,15,Møre og Romsdal
,NO26054427,N,COOP NORDVEST SA (1474) COOP PRIX FARSTAD,973172964,Farstadvegen 1756,6444,FARSTAD,71 26 43 03,71 26 45 55,1579,Hustadvika,15,Møre og Romsdal
,NO26054399,N,COOP NORDVEST SA (1478) COOP PRIX BUD,971672188,Strandavegen 1,6430,BUD,71261554,,1579,Hustadvika,15,Møre og Romsdal
,NO26054388,N,COOP NORDVEST SA (1481) EXTRA GOSSEN,971771607,Aukraringen 2,6480,AUKRA,,,1547,Aukra,15,Møre og Romsdal
,NO26054392,N,COOP NORDVEST SA (1485) COOP PRIX HOPEN,973173707,Rådhusveien 1,6570,SMØLA,71 54 01 06,,1573,Smøla,15,Møre og Romsdal
,NO26054356,N,COOP NORDVEST SA (1488) COOP PRIX TUSTNA,971727446,Tømmervågvegen 3281,6590,TUSTNA,71 52 04 24,71 52 04 01,1576,Aure,15,Møre og Romsdal
,NO26054367,N,COOP NORDVEST SA (1491) COOP PRIX SJØHOLT,973171429,Sjøholtvegen 9,6240,ØRSKOG,70270408,,1508,Ålesund,15,Møre og Romsdal
,NO26054366,N,COOP NORDVEST SA (1492) EXTRA SKJODJE,973171437,Ådalsbakken 1,6260,SKODJE,70275032,70172601,1508,Ålesund,15,Møre og Romsdal
,NO26054393,N,COOP NORDVEST SA (1495) EXTRA BRATTVÅG,973171445,Brattvåggata 20,6270,BRATTVÅG,70 21 53 66,,1580,Haram,15,Møre og Romsdal
,NO26054408,N,COOP NORDVEST SA (1505) EXTRA VATNEEIDET,979722494,Slyngstadvegen 4,6264,TENNFJORD,97995290,70 21 39 20,1580,Haram,15,Møre og Romsdal
,NO26054423,N,COOP NORDVEST SA (1511) EXTRA EIDSVÅG,973173391,Eidsvågvegen 27,6460,EIDSVÅG I ROMSDAL,71 23 21 54,71 23 24 04,1506,Molde,15,Møre og Romsdal
,NO26054351,N,COOP NORDVEST SA (1512) EXTRA TINGVOLL,973173405,Vågavegen 171,6630,TINGVOLL,71 53 13 07,,1560,Tingvoll,15,Møre og Romsdal
,NO26054380,N,COOP NORDVEST SA (1513) COOP PRIX GRANLIA,973173464,Langmyrvegen 81,6415,MOLDE,71 25 38 44,71 25 16 04,1506,Molde,15,Møre og Romsdal
,NO23053568,MN,COOP NORDVEST SA (1516) COOP MEGA MOLDE,973173456,Birger Hatlebakks veg 5,6415,MOLDE,71 25 67 11,,1506,Molde,15,Møre og Romsdal
,NO26054400,N,COOP NORDVEST SA (1517) COOP MARKED HELLESYLT,971776579,Hellesyltvegen 45,6218,HELLESYLT,,,1525,Stranda,15,Møre og Romsdal
,NO26054409,N,COOP NORDVEST SA (1533) COOP MARKED BÅDALEN,974074311,Myrsetveien 2,6531,AVERØY,71 51 47 54,71 51 47 82,1554,Averøy,15,Møre og Romsdal
,NO26054407,N,COOP NORDVEST SA (1536) EXTRA BRUHAGEN,974992388,Averøyveien 21,6530,AVERØY,71 51 15 70,,1554,Averøy,15,Møre og Romsdal
,NO18052530,MN,COOP NORDVEST SA (1542) COOP MEGA ULSTEINVIK,973172182,Vikemyra 1,6065,ULSTEINVIK,,,1516,Ulstein,15,Møre og Romsdal
,NO18052517,MN,COOP NORDVEST SA (1543) EXTRA HAREID,973172212,Strandgata 78,6060,HAREID,,,1517,Hareid,15,Møre og Romsdal
,NO26054395,N,COOP NORDVEST SA (1545) COOP MARKED SANDSØY,973172247,Sandshamna 76,6089,SANDSHAMN,,,1514,Sande,15,Møre og Romsdal
,NO26054360,N,COOP NORDVEST SA (1546) COOP MARKED GJERDSVIKA,973172204,Dekkevegen 2,6083,GJERDSVIKA,,,1514,Sande,15,Møre og Romsdal
,NO18052515,MN,COOP NORDVEST SA (1547) EXTRA FOSNAVÅG,973172190,Eggesbøvegen 2,6092,FOSNAVÅG,,,1515,Herøy (M. og R.),15,Møre og Romsdal
,NO26054433,N,COOP NORDVEST SA (1548) COOP MARKED KVAMSØY,973172220,Hamna 11,6087,KVAMSØY,,,1514,Sande,15,Møre og Romsdal
,NO18052531,MN,COOP NORDVEST SA (1558) COOP MEGA VOLDA,973169009,Hamnegata 12,6100,VOLDA,,,1577,Volda,15,Møre og Romsdal
,NO26054418,N,COOP NORDVEST SA (1560) COOP MARKED FOLKESTAD,973169025,Vollen 3,6120,FOLKESTAD,,,1577,Volda,15,Møre og Romsdal
,NO26054434,N,COOP NORDVEST SA (1561) COOP MARKED FISKÅ,973169033,Reitebakkvegen 7,6143,FISKÅ,,,1511,Vanylven,15,Møre og Romsdal
,NO17051864,N,COOP NORDVEST SA (1566) COOP PRIX SELJE,974102005,Nabben 90,6740,SELJE,57 85 92 79,,4649,Stad,46,Vestland
,NO26054362,N,COOP NORDVEST SA (1568) COOP MARKED OLDEN,872163212,Leirane 1,6788,OLDEN,,,4651,Stryn,46,Vestland
,NO26054406,N,COOP NORDVEST SA (1656) COOP MARKED RINDALSSKOGEN,973173634,Rindalslina 1605,6658,RINDALSSKOGEN,71 66 65 33,,5061,Rindal,50,Trøndelag
,NO26054385,N,COOP NORDVEST SA (1657) EXTRA RINDAL,973173626,Rindalsvegen 15A,6657,RINDAL,71 66 53 53,,5061,Rindal,50,Trøndelag
,NO26054382,N,COOP NORDVEST SA (1720) COOP MARKED STOKKØY,971773855,Stokkøyveien 151,7178,STOKKØY,,,5058,Åfjord,50,Trøndelag
,NO26054369,N,COOP NORDVEST SA (1762) COOP PRIX LENSVIK,971727683,Lensvikveien 275,7316,LENSVIK,,,5059,Orkland,50,Trøndelag
,NO26054374,N,COOP NORDVEST SA (1767) EXTRA BJUGN,971666854,Alf Nebbs gate 3,7160,BJUGN,72526870,72526879,5057,Ørland,50,Trøndelag
,NO26054368,N,COOP NORDVEST SA (1768) EXTRA BØRSA,973179543,Rådhusvegen 3,7353,BØRSA,72 86 30 35,,5029,Skaun,50,Trøndelag
,NO26054373,N,COOP NORDVEST SA (1770) EXTRA ORKANGER,973179578,Trondheimsveien 13,7300,ORKANGER,97994795,72 48 23 33,5059,Orkland,50,Trøndelag
,NO26054404,N,COOP NORDVEST SA (1772) EXTRA FANNREM,973179586,Orkdalsveien 547,7320,FANNREM,72485410,,5059,Orkland,50,Trøndelag
,NO26054405,N,COOP NORDVEST SA (1774) EXTRA LØKKEN,973179535,Løkkenveien 290,7332,LØKKEN VERK,97994805,,5059,Orkland,50,Trøndelag
,NO26054411,N,COOP NORDVEST SA (1776) COOP MARKED STORÅS,973179608,Elvadalen 1230,7334,STORÅS,72 49 81 73,,5059,Orkland,50,Trøndelag
,NO26054377,N,COOP NORDVEST SA (1778) EXTRA KYRKSÆTERØRA,973179551,Industriveien 1,7200,KYRKSÆTERØRA,72451400,72452511,5055,Heim,50,Trøndelag
,NO26054396,N,COOP NORDVEST SA (1781) COOP MARKED MØLNBUKT,973179624,Værnesveien 405,7318,AGDENES,72491112,,5059,Orkland,50,Trøndelag
,NO26054415,N,COOP NORDVEST SA (1783) EXTRA BERKÅK,973179756,Parallellveien 8,7391,RENNEBU,72 42 71 45,72 42 72 41,5022,Rennebu,50,Trøndelag
,NO26054402,N,COOP NORDVEST SA (1788) COOP PRIX VÅGLAND,973179802,Glåmsmyrvegen 11,6683,VÅGLAND,,,5055,Heim,50,Trøndelag
,NO26054384,N,COOP NORDVEST SA (1791) EXTRA AURE,974072467,Aurdalsvegen 7,6690,AURE,71 64 62 55,71 64 66 71,1576,Aure,15,Møre og Romsdal
